Time [s], Analyzer Name, Decoded Protocol Result
0.031066000000000,I2C,Setup Write to ['148'] + ACK
0.036112000000000,I2C,'5' + ACK
0.036854000000000,I2C,Setup Read to ['149'] + ACK
0.037208000000000,I2C,'5' + ACK
0.037562000000000,I2C,'0' + ACK
0.037914000000000,I2C,'0' + ACK
0.038274000000000,I2C,T + NAK
0.038986000000000,I2C,Setup Write to ['150'] + ACK
0.039506000000000,I2C,'5' + ACK
0.044936000000000,I2C,Setup Read to ['151'] + ACK
0.045290000000000,I2C,L + ACK
0.045642000000000,I2C,'255' + ACK
0.045996000000000,I2C,0 + ACK
0.046356000000000,I2C,M + NAK
0.047068000000000,I2C,Setup Write to ['152'] + ACK
0.047440000000000,I2C,'5' + ACK
0.048184000000000,I2C,Setup Read to ['153'] + ACK
0.048538000000000,I2C,D + ACK
0.048890000000000,I2C,D + ACK
0.049242000000000,I2C,D + ACK
0.049602000000000,I2C,D + NAK
