Time [s], Analyzer Name, Decoded Protocol Result
0.008544000000000,I2C,Setup Write to ['148'] + ACK
0.008916000000000,I2C,'5' + ACK
0.009660000000000,I2C,Setup Read to ['149'] + ACK
0.010014000000000,I2C,'5' + ACK
0.010514000000000,I2C,'0' + ACK
0.015416000000000,I2C,'0' + ACK
0.015776000000000,I2C,B + NAK
0.016488000000000,I2C,Setup Write to ['150'] + ACK
0.016860000000000,I2C,'5' + ACK
0.017604000000000,I2C,Setup Read to ['151'] + ACK
0.017958000000000,I2C,L + ACK
0.018310000000000,I2C,'255' + ACK
0.018664000000000,I2C,0 + ACK
0.019024000000000,I2C,M + NAK
0.019736000000000,I2C,Setup Write to ['152'] + ACK
0.020108000000000,I2C,'5' + ACK
0.020852000000000,I2C,Setup Read to ['153'] + ACK
0.021206000000000,I2C,D + ACK
0.026292000000000,I2C,D + ACK
0.026644000000000,I2C,D + ACK
0.027004000000000,I2C,D + NAK
