Time [s], Analyzer Name, Decoded Protocol Result
0.024314000000000,I2C,Setup Write to ['148'] + ACK
0.031106000000000,I2C,'5' + ACK
0.031850000000000,I2C,Setup Read to ['149'] + ACK
0.032204000000000,I2C,'5' + ACK
0.032558000000000,I2C,'0' + ACK
0.033058000000000,I2C,'0' + ACK
0.039802000000000,I2C,'189' + NAK
0.040514000000000,I2C,Setup Write to ['150'] + ACK
0.040886000000000,I2C,'5' + ACK
0.041628000000000,I2C,Setup Read to ['151'] + ACK
0.041982000000000,I2C,L + ACK
0.042336000000000,I2C,'255' + ACK
0.042688000000000,I2C,0 + ACK
0.043048000000000,I2C,M + NAK
0.043760000000000,I2C,Setup Write to ['152'] + ACK
0.044280000000000,I2C,'5' + ACK
0.051420000000000,I2C,Setup Read to ['153'] + ACK
0.051774000000000,I2C,D + ACK
0.052126000000000,I2C,D + ACK
0.052478000000000,I2C,D + ACK
0.052838000000000,I2C,D + NAK
